Filenames/Errors,missingInclude,redundantAssignment,selfAssignment,syntaxError,uninitMemberVar,unnecessaryQualification,unusedFunction,useInitializationList,variableScope
No Particular File,1,0,0,0,0,0,0,0,0
Annotator.cpp,0,0,0,0,0,0,1,0,0
AnnotatorApplication.cpp,0,0,0,0,0,0,3,0,0
AsyncLoader.cpp,0,1,0,0,0,0,0,0,0
AsyncLoaderHelper.cpp,0,0,0,0,0,0,5,0,0
AsyncLoaderLayoutManager.cpp,0,0,1,0,0,0,3,0,0
AsyncLoaderMemoryManager.cpp,0,0,0,0,0,0,7,0,0
BrowserApplication.cpp,0,0,0,0,2,0,0,0,0
CarouselPane.cpp,0,0,0,0,1,0,0,0,0
CarouselThumbnailAnimation.cpp,0,1,0,0,0,0,0,0,0
FileRegistration.cpp,0,1,0,0,0,0,0,4,0
FlickrUploader.cpp,0,0,0,0,0,0,0,0,1
FlyerAnimation.cpp,0,0,0,0,0,0,2,0,0
ImageEditor.cpp,0,0,0,0,3,0,0,0,0
ImageEditor.h,0,0,0,0,0,1,0,0,0
ImageThumbnailControl.cpp,0,0,0,0,0,0,0,0,2
LoadableItemList.cpp,0,0,0,0,0,0,1,0,0
MediaPane.cpp,0,0,0,1,0,0,0,0,0
PointAnimation.h,0,0,0,0,0,1,0,0,0
PropertySet.cpp,0,0,0,0,0,0,1,0,0
ShellItemsLoader.cpp,0,0,0,1,0,0,0,0,0
ThumbnailImpl.cpp,0,0,0,0,3,0,0,0,0
ThumbnailInfo.h,0,1,0,0,0,0,0,0,0
ThumbnailLayoutInterface.h,0,0,0,0,1,0,0,0,0
ThumbnailLayoutManager.cpp,0,0,0,0,2,0,10,0,0
UICommandHandler.cpp,0,0,0,0,0,0,2,0,0
WindowApplicationImpl.cpp,0,0,0,0,0,0,1,0,0
WindowLayout.cpp,0,0,0,0,0,0,4,0,0
direct2dutility.cpp,0,1,0,0,0,0,0,0,0
windowimpl.cpp,0,0,0,0,0,0,3,0,0
